case_id;activity;start_timestamp;complete_timestamp;station;rotary_table;nest;qib;error_code;tray_row;tray_column
287;ts1o;2016-11-02 07:37:23.062;2016-11-02 07:37:29.061;1;M;1;1;;;
287;ts2o;2016-11-02 07:37:32.343;2016-11-02 07:37:39.348;2;M;1;1;;;
287;ts3o;2016-11-02 07:37:54.187;2016-11-02 07:38:00.865;3;M;1;1;;;
287;ts4o;2016-11-02 07:38:00.937;2016-11-02 07:38:09.897;4;M;1;1;;;
287;ts5o;2016-11-02 07:38:08.609;2016-11-02 07:38:14.833;5;M;1;1;;;
287;ts6o;2016-11-02 07:38:15.453;2016-11-02 07:38:20.883;6;M;1;1;;;
287;ts7o;2016-11-02 07:42:44.328;2016-11-02 07:43:12.758;7;S;4;1;;;
287;ts8o;2016-11-02 07:42:45.093;2016-11-02 07:42:48.676;8;M;5;0;;0;0
287;terr;2016-11-02 07:42:45.451;2016-11-02 07:42:45.451;8;M;5;;802;;
386;ts1o;2016-11-02 08:09:18.375;2016-11-02 08:09:24.038;1;M;6;1;;;
386;ts2o;2016-11-02 08:09:26.218;2016-11-02 08:09:33.139;2;M;6;1;;;
386;ts3o;2016-11-02 08:09:35.343;2016-11-02 08:09:41.884;3;M;6;1;;;
386;ts4o;2016-11-02 08:09:47.640;2016-11-02 08:09:52.267;4;M;6;1;;;
386;ts5o;2016-11-02 08:09:54.453;2016-11-02 08:10:00.656;5;M;6;1;;;
386;ts6o;2016-11-02 08:10:01.218;2016-11-02 08:10:06.977;6;M;6;1;;;
386;ts7o;2016-11-02 08:10:34.828;2016-11-02 08:10:40.065;7;S;2;1;;;
386;ts8o;2016-11-02 08:10:45.140;2016-11-02 08:10:48.767;8;M;3;0;;0;0
386;terr;2016-11-02 08:10:45.503;2016-11-02 08:10:45.503;8;M;3;;802;;
429;ts1o;2016-11-02 08:29:31.578;2016-11-02 08:29:37.595;1;M;3;1;;;
429;ts2o;2016-11-02 08:29:46.125;2016-11-02 08:29:53.655;2;M;3;1;;;
429;ts3o;2016-11-02 08:29:55.453;2016-11-02 08:30:02.122;3;M;3;1;;;
429;ts4o;2016-11-02 08:30:04.781;2016-11-02 08:30:16.684;4;M;3;1;;;
