case_id;activity;start_timestamp;complete_timestamp;station;rotary_table;nest;qib;error_code;tray_row;tray_column
94584;ts1o;2016-12-02 09:25:28.000;2016-12-02 09:25:34.176;1;M;1;1;;;
94586;ts1o;2016-12-02 09:25:36.578;2016-12-02 09:25:42.764;1;M;8;1;;;
94584;ts2o;2016-12-02 09:25:36.937;2016-12-02 09:25:46.629;2;M;1;1;;;
94584;ts3o;2016-12-02 09:25:38.468;2016-12-02 09:25:38.468;3;M;1;0;;;
94584;terr;2016-12-02 09:25:38.468;2016-12-02 09:25:38.468;3;M;1;;302;;
94588;ts1o;2016-12-02 09:25:44.578;2016-12-02 09:25:50.825;1;M;7;1;;;
94586;ts2o;2016-12-02 09:25:54.421;2016-12-02 09:26:11.747;2;M;8;1;;;
94586;ts3o;2016-12-02 09:27:00.140;2016-12-02 09:27:00.140;3;M;8;0;;;
94584;ts4o;2016-12-02 09:27:00.140;2016-12-02 09:27:00.140;4;M;1;0;;;
94586;terr;2016-12-02 09:27:00.140;2016-12-02 09:27:00.140;3;M;8;;302;;
94588;ts2o;2016-12-02 09:27:03.687;2016-12-02 09:27:12.407;2;M;7;1;;;
94589;ts1o;2016-12-02 09:27:04.250;2016-12-02 09:27:10.794;1;M;6;1;;;
94588;ts3o;2016-12-02 09:35:03.421;2016-12-02 09:35:03.421;3;M;7;0;;;
94586;ts4o;2016-12-02 09:35:03.421;2016-12-02 09:35:03.421;4;M;8;0;;;
94584;ts5o;2016-12-02 09:35:03.421;2016-12-02 09:35:03.421;5;M;1;0;;;
94588;terr;2016-12-02 09:35:03.421;2016-12-02 09:35:03.421;3;M;7;;302;;
94589;ts2o;2016-12-02 09:35:06.937;2016-12-02 09:35:13.598;2;M;6;1;;;
94590;ts1o;2016-12-02 09:35:14.937;2016-12-02 09:35:28.787;1;M;5;1;;;
94588;ts4o;2016-12-02 10:21:17.890;2016-12-02 10:21:17.890;4;M;7;0;;;
94586;ts5o;2016-12-02 10:21:17.890;2016-12-02 10:21:17.890;5;M;8;0;;;
94584;ts6o;2016-12-02 10:21:17.890;2016-12-02 10:21:17.890;6;M;1;0;;;
94590;ts2o;2016-12-02 10:21:21.375;2016-12-02 10:21:28.588;2;M;5;1;;;
94591;ts1o;2016-12-02 10:21:29.390;2016-12-02 10:21:42.978;1;M;4;1;;;
94589;ts3o;2016-12-02 10:27:44.828;2016-12-02 10:55:33.035;3;M;6;1;;;
94589;ts4o;2016-12-02 10:27:46.031;2016-12-02 10:27:47.991;4;M;6;0;;;
94588;ts5o;2016-12-02 10:27:46.031;2016-12-02 10:27:46.031;5;M;7;0;;;
94586;ts6o;2016-12-02 10:27:46.031;2016-12-02 10:27:46.031;6;M;8;0;;;
94584;ts7o;2016-12-02 10:27:46.031;2016-12-02 10:27:46.031;7;M;1;0;;;
94589;terr;2016-12-02 10:27:46.227;2016-12-02 10:27:46.227;4;M;6;;405;;
94591;ts2o;2016-12-02 10:27:49.531;2016-12-02 10:27:56.276;2;M;4;1;;;
94593;ts1o;2016-12-02 10:27:57.578;2016-12-02 10:28:11.478;1;M;3;1;;;
94590;ts3o;2016-12-02 10:28:02.750;2016-12-02 10:28:19.982;3;M;5;1;;;
94590;ts4o;2016-12-02 10:28:03.937;2016-12-02 10:28:05.897;4;M;5;0;;;
94589;ts5o;2016-12-02 10:28:03.937;2016-12-02 10:28:03.937;5;M;6;0;;;
94588;ts6o;2016-12-02 10:28:03.937;2016-12-02 10:28:03.937;6;M;7;0;;;
94586;ts7o;2016-12-02 10:28:03.937;2016-12-02 10:28:03.937;7;M;8;0;;;
94590;terr;2016-12-02 10:28:04.133;2016-12-02 10:28:04.133;4;M;5;;405;;
94593;ts2o;2016-12-02 10:28:07.140;2016-12-02 10:28:13.591;2;M;3;1;;;
94595;ts1o;2016-12-02 10:28:17.250;2016-12-02 10:28:32.691;1;M;2;1;;;
94591;ts3o;2016-12-02 10:28:22.406;2016-12-02 10:28:41.390;3;M;4;1;;;
94591;ts4o;2016-12-02 10:28:23.593;2016-12-02 10:28:25.553;4;M;4;0;;;
94590;ts5o;2016-12-02 10:28:23.593;2016-12-02 10:28:23.593;5;M;5;0;;;
94589;ts6o;2016-12-02 10:28:23.593;2016-12-02 10:28:23.593;6;M;6;0;;;
94588;ts7o;2016-12-02 10:28:23.593;2016-12-02 10:28:23.593;7;M;7;0;;;
94591;terr;2016-12-02 10:28:23.789;2016-12-02 10:28:23.789;4;M;4;;405;;
94595;ts2o;2016-12-02 10:28:26.890;2016-12-02 10:28:33.224;2;M;2;1;;;
94593;ts3o;2016-12-02 10:28:46.750;2016-12-02 10:29:10.428;3;M;3;1;;;
94593;ts4o;2016-12-02 10:28:47.968;2016-12-02 10:28:49.928;4;M;3;0;;;
94591;ts5o;2016-12-02 10:28:47.968;2016-12-02 10:28:47.968;5;M;4;0;;;
94590;ts6o;2016-12-02 10:28:47.968;2016-12-02 10:28:47.968;6;M;5;0;;;
94589;ts7o;2016-12-02 10:28:47.968;2016-12-02 10:28:47.968;7;M;6;0;;;
94593;terr;2016-12-02 10:28:48.164;2016-12-02 10:28:48.164;4;M;3;;405;;
94595;ts3o;2016-12-02 10:28:59.500;2016-12-02 10:29:11.558;3;M;2;1;;;
94595;ts4o;2016-12-02 10:29:00.687;2016-12-02 10:29:02.647;4;M;2;0;;;
94593;ts5o;2016-12-02 10:29:00.687;2016-12-02 10:29:00.687;5;M;3;0;;;
94591;ts6o;2016-12-02 10:29:00.687;2016-12-02 10:29:00.687;6;M;4;0;;;
94590;ts7o;2016-12-02 10:29:00.687;2016-12-02 10:29:00.687;7;M;5;0;;;
94595;terr;2016-12-02 10:29:00.883;2016-12-02 10:29:00.883;4;M;2;;405;;
94600;ts1o;2016-12-02 10:29:04.828;2016-12-02 10:29:11.319;1;M;7;1;;;
94595;ts5o;2016-12-02 10:29:11.187;2016-12-02 10:29:11.187;5;M;2;0;;;
94593;ts6o;2016-12-02 10:29:11.187;2016-12-02 10:29:11.187;6;M;3;0;;;
94591;ts7o;2016-12-02 10:29:11.187;2016-12-02 10:29:11.187;7;M;4;0;;;
94600;ts2o;2016-12-02 10:29:14.796;2016-12-02 10:29:23.941;2;M;7;1;;;
94595;ts6o;2016-12-02 10:29:51.890;2016-12-02 10:29:51.890;6;M;2;0;;;
94593;ts7o;2016-12-02 10:29:51.890;2016-12-02 10:29:51.890;7;M;3;0;;;
94600;ts3o;2016-12-02 10:30:42.781;2016-12-02 10:31:12.509;3;M;7;1;;;
94600;ts4o;2016-12-02 10:30:44.000;2016-12-02 10:32:40.790;4;M;7;0;;;
94595;ts7o;2016-12-02 10:30:44.000;2016-12-02 10:30:44.000;7;M;2;0;;;
94600;terr;2016-12-02 10:30:54.436;2016-12-02 10:30:54.436;4;M;7;;402;;
94600;ts5o;2016-12-02 10:30:54.437;2016-12-02 10:30:54.437;5;M;7;0;;;
94600;ts6o;2016-12-02 11:31:36.500;2016-12-02 11:31:36.500;6;M;7;0;;;
