case_id;activity;start_timestamp;complete_timestamp;station;rotary_table;nest;qib;error_code;tray_row;tray_column
164748;ts1o;2023-01-05 06:21:41.296;2023-01-05 06:23:11.585;1;M;3;1;;;
164749;ts1o;2023-01-05 06:21:47.218;2023-01-05 06:21:53.143;1;M;2;1;;;
164748;ts2o;2023-01-05 06:22:57.281;2023-01-05 06:22:57.281;2;M;3;1;;;
164750;ts1o;2023-01-05 06:23:14.718;2023-01-05 06:23:21.008;1;M;1;1;;;
164749;ts2o;2023-01-05 06:23:19.687;2023-01-05 06:23:41.906;2;M;2;1;;;
164748;ts3o;2023-01-05 06:23:23.250;2023-01-05 06:24:19.091;3;M;3;1;;;
164748;ts4o;2023-01-05 06:23:24.234;2023-01-05 06:23:34.999;4;M;3;0;;;
164748;terr;2023-01-05 06:23:25.311;2023-01-05 06:23:25.311;4;M;3;;402;;
164751;ts1o;2023-01-05 06:23:28.234;2023-01-05 06:23:34.708;1;M;8;1;;;
164750;ts2o;2023-01-05 06:23:29.250;2023-01-05 06:23:36.462;2;M;1;1;;;
164749;ts3o;2023-01-05 06:23:32.968;2023-01-05 06:23:41.990;3;M;2;1;;;
164748;ts5o;2023-01-05 06:23:33.937;2023-01-05 06:23:38.956;5;M;3;0;;;
164752;ts1o;2023-01-05 06:23:38.078;2023-01-05 06:23:44.382;1;M;7;1;;;
164751;ts2o;2023-01-05 06:23:38.953;2023-01-05 06:23:45.754;2;M;8;1;;;
164749;ts4o;2023-01-05 06:32:00.640;2023-01-05 06:40:22.539;4;M;2;1;;;
164750;ts3o;2023-01-05 06:32:11.593;2023-01-05 06:40:49.523;3;M;1;1;;;
164748;ts6o;2023-01-05 06:32:12.546;2023-01-05 06:32:12.546;6;M;3;0;;;
164753;ts1o;2023-01-05 06:32:19.109;2023-01-05 06:32:25.419;1;M;6;1;;;
164749;ts5o;2023-01-05 06:32:20.062;2023-01-05 06:32:25.102;5;M;2;1;;;
164752;ts2o;2023-01-05 06:32:20.078;2023-01-05 06:32:27.218;2;M;7;1;;;
164750;ts4o;2023-01-05 06:32:20.140;2023-01-05 06:32:34.690;4;M;1;1;;;
164751;ts3o;2023-01-05 06:32:23.843;2023-01-05 06:32:35.366;3;M;8;1;;;
164748;ts7o;2023-01-05 06:32:24.828;2023-01-05 06:32:24.828;7;M;3;0;;;
164755;ts1o;2023-01-05 06:32:31.468;2023-01-05 06:32:37.828;1;M;5;1;;;
164753;ts2o;2023-01-05 06:32:32.437;2023-01-05 06:32:39.518;2;M;6;1;;;
164750;ts5o;2023-01-05 06:32:32.453;2023-01-05 06:32:37.491;5;M;1;1;;;
164751;ts4o;2023-01-05 06:32:42.187;2023-01-05 06:33:05.274;4;M;8;1;;;
164749;ts6o;2023-01-05 06:33:22.750;2023-01-05 06:34:17.993;6;M;2;1;;;
164752;ts3o;2023-01-05 06:33:26.234;2023-01-05 06:34:27.826;3;M;7;1;;;
164749;ts7o;2023-01-05 06:33:27.187;2023-01-05 06:33:36.095;7;S;1;0;;;
164749;terr;2023-01-05 06:33:28.078;2023-01-05 06:33:28.078;7;M;8;;799;;
164756;ts1o;2023-01-05 06:33:33.203;2023-01-05 06:33:39.637;1;M;4;1;;;
164751;ts5o;2023-01-05 06:33:34.187;2023-01-05 06:33:39.253;5;M;8;1;;;
164750;ts6o;2023-01-05 06:33:34.281;2023-01-05 06:33:39.306;6;M;1;1;;;
