case;event;date;amount;notificationType;expense;lastSent;paymentAmount;article;points;org:resource;dismissal;vehicleClass;totalPaymentAmount;matricola;delaySend;delayJudge;delayPrefecture
A10009;Create Fine;2007-03-20;22.0;;;;;7;0;537;NIL;A;0.0;;;;
A10009;Send Fine;2007-07-17;22.0;;13.0;;;7;0;537;NIL;A;0.0;;119.0;;
A10009;Insert Fine Notification;2007-07-23;22.0;P;13.0;P;;7;0;537;NIL;A;0.0;;;;
A10009;Add Penalty;2007-09-21;44.0;P;13.0;P;;7;0;537;NIL;A;0.0;;;;
A10009;Payment;2007-10-01;44.0;P;13.0;P;35.0;7;0;537;NIL;A;35.0;;;;
A10009;Payment;2007-10-31;44.0;P;13.0;P;22.0;7;0;537;NIL;A;57.0;;;;
A1582;Create Fine;2006-08-11;35.0;;;;;157;0;561;NIL;A;0.0;;;;
A1582;Send Fine;2006-12-13;35.0;;22.0;;;157;0;561;NIL;A;0.0;;124.0;;
A1582;Insert Fine Notification;2007-01-02;35.0;P;22.0;P;;157;0;561;NIL;A;0.0;;;;
A1582;Insert Date Appeal to Prefecture;2007-01-17;35.0;P;22.0;P;;157;0;561;NIL;A;0.0;;;;15.0
A1582;Add Penalty;2007-03-03;71.5;P;22.0;P;;157;0;561;NIL;A;0.0;;;;
A1582;Receive Result Appeal from Prefecture;2007-03-19;71.5;P;22.0;P;;157;0;561;NIL;A;0.0;;;;
A1582;Notify Result Appeal to Offender;2007-04-11;71.5;P;22.0;P;;157;0;561;NIL;A;0.0;;;;
A1582;Appeal to Judge;2007-04-24;71.5;P;22.0;P;;157;0;0;G;A;0.0;0.0;;112.0;
C12749;Create Fine;2000-09-02;0.0;;;;;192;0;807;NIL;A;0.0;;;;
C12749;Send Fine;2000-09-02;0.0;;0.0;;;192;0;807;NIL;A;0.0;;0.0;;
C12749;Insert Fine Notification;2000-09-02;0.0;P;0.0;;;192;0;807;NIL;A;0.0;;;;
C12749;Appeal to Judge;2000-09-20;0.0;P;0.0;;;192;0;0;NIL;A;0.0;0.0;;18.0;
C12749;Add Penalty;2000-11-01;0.0;P;0.0;;;192;0;0;NIL;A;0.0;0.0;;;
C12749;Send for Credit Collection;2004-12-25;0.0;P;0.0;;;192;0;0;NIL;A;0.0;0.0;;;
C22901;Create Fine;2012-05-13;39.0;;;;;7;0;31;NIL;A;0.0;;;;
C22901;Send Fine;2012-07-30;39.0;;15.0;;;7;0;31;NIL;A;0.0;;78.0;;
N100627;Create Fine;2006-06-30;35.0;;;;;157;0;563;NIL;A;0.0;;;;
N100627;Send Fine;2006-11-16;35.0;;22.0;;;157;0;563;NIL;A;0.0;;139.0;;
N100627;Insert Fine Notification;2006-11-28;35.0;P;22.0;P;;157;0;563;NIL;A;0.0;;;;
N100627;Add Penalty;2007-01-27;71.5;P;22.0;P;;157;0;563;NIL;A;0.0;;;;
N100627;Insert Date Appeal to Prefecture;2007-02-09;71.5;P;22.0;P;;157;0;563;NIL;A;0.0;;;;73.0
N100627;Receive Result Appeal from Prefecture;2007-07-12;71.5;P;22.0;P;;157;0;563;NIL;A;0.0;;;;
N100627;Notify Result Appeal to Offender;2007-07-19;71.5;P;22.0;P;;157;0;563;NIL;A;0.0;;;;
N100627;Appeal to Judge;2007-09-07;71.5;P;22.0;P;;157;0;0;NIL;A;0.0;0.0;;283.0;
N100627;Send Appeal to Prefecture;2011-12-25;71.5;P;22.0;P;;157;0;0;NIL;A;0.0;0.0;;;
N99647;Create Fine;2006-07-01;35.0;;;;;157;0;557;NIL;A;0.0;;;;
