case;event;date;amount;notificationType;expense;lastSent;paymentAmount;article;points;org:resource;dismissal;vehicleClass;totalPaymentAmount;matricola;delaySend;delayJudge;delayPrefecture
A10005;Create Fine;2007-03-20;36.0;;;;;157;0;537;NIL;A;0.0;;;;
A10005;Payment;2007-03-21;36.0;;;;36.0;157;0;537;NIL;A;36.0;;;;
A10421;Create Fine;2007-05-28;22.0;;;;;7;0;541;NIL;A;0.0;;;;
A10421;Send Fine;2007-08-20;22.0;;13.0;;;7;0;541;NIL;A;0.0;;84.0;;
A10421;Insert Fine Notification;2007-08-28;22.0;P;13.0;P;;7;0;541;NIL;A;0.0;;;;
A10421;Add Penalty;2007-10-27;44.0;P;13.0;P;;7;0;541;NIL;A;0.0;;;;
A10421;Send for Credit Collection;2009-03-30;44.0;P;13.0;P;;7;0;541;NIL;A;0.0;;;;
A10579;Create Fine;2007-05-23;22.0;;;;;7;0;557;NIL;A;0.0;;;;
A10579;Send Fine;2007-08-20;22.0;;13.0;;;7;0;557;NIL;A;0.0;;89.0;;
A10579;Insert Fine Notification;2007-08-28;22.0;P;13.0;P;;7;0;557;NIL;A;0.0;;;;
A10579;Add Penalty;2007-10-27;44.0;P;13.0;P;;7;0;557;NIL;A;0.0;;;;
A10579;Payment;2008-11-15;44.0;P;13.0;P;57.0;7;0;557;NIL;A;57.0;;;;
A10700;Create Fine;2007-10-21;22.0;;;;;7;0;537;NIL;A;0.0;;;;
A10700;Send Fine;2008-01-18;22.0;;13.0;;;7;0;537;NIL;A;0.0;;89.0;;
A10700;Insert Fine Notification;2008-01-30;22.0;P;13.0;P;;7;0;537;NIL;A;0.0;;;;
A10700;Add Penalty;2008-03-30;44.0;P;13.0;P;;7;0;537;NIL;A;0.0;;;;
A10700;Payment;2008-04-18;44.0;P;13.0;P;35.0;7;0;537;NIL;A;35.0;;;;
A10700;Payment;2008-05-12;44.0;P;13.0;P;22.0;7;0;537;NIL;A;57.0;;;;
A12590;Create Fine;2007-05-27;36.0;;;;;157;0;559;NIL;A;0.0;;;;
A12590;Send Fine;2007-08-20;36.0;;13.0;;;157;0;559;NIL;A;0.0;;85.0;;
A12590;Insert Fine Notification;2007-08-28;36.0;P;13.0;P;;157;0;559;NIL;A;0.0;;;;
A12590;Add Penalty;2007-10-27;74.0;P;13.0;P;;157;0;559;NIL;A;0.0;;;;
A12590;Payment;2007-11-08;74.0;P;13.0;P;49.0;157;0;559;NIL;A;49.0;;;;
A12590;Send for Credit Collection;2009-03-30;74.0;P;13.0;P;49.0;157;0;559;NIL;A;49.0;;;;
A12764;Create Fine;2008-05-30;22.0;;;;;7;0;536;NIL;A;0.0;;;;
A12764;Send Fine;2008-07-30;22.0;;13.0;;;7;0;536;NIL;A;0.0;;61.0;;
A12764;Payment;2008-08-22;22.0;;13.0;;35.0;7;0;536;NIL;A;35.0;;;;
A12991;Create Fine;2007-06-02;36.0;;;;;157;0;558;NIL;A;0.0;;;;
A12991;Send Fine;2007-08-20;36.0;;13.0;;;157;0;558;NIL;A;0.0;;79.0;;
A12991;Insert Fine Notification;2007-08-28;36.0;P;13.0;P;;157;0;558;NIL;A;0.0;;;;
A12991;Add Penalty;2007-10-27;74.0;P;13.0;P;;157;0;558;NIL;A;0.0;;;;
A12991;Payment;2007-12-27;74.0;P;13.0;P;49.0;157;0;558;NIL;A;49.0;;;;
A12991;Payment;2008-01-18;74.0;P;13.0;P;38.0;157;0;558;NIL;A;87.0;;;;
A12991;Payment;2008-03-12;74.0;P;13.0;P;38.0;157;0;558;NIL;A;125.0;;;;
A13947;Create Fine;2007-06-16;36.0;;;;;157;0;559;NIL;A;0.0;;;;
A13947;Payment;2007-06-21;36.0;;;;36.0;157;0;559;NIL;A;36.0;;;;
A13947;Send Fine;2007-08-22;36.0;;13.0;;36.0;157;0;559;NIL;A;36.0;;67.0;;
A13947;Payment;2007-09-08;36.0;;13.0;;13.0;157;0;559;NIL;A;49.0;;;;
A25121;Create Fine;2008-02-01;36.0;;;;;157;0;557;NIL;A;0.0;;;;
A25121;Send Fine;2008-04-17;36.0;;13.0;;;157;0;557;NIL;A;0.0;;76.0;;
A25121;Insert Fine Notification;2008-04-30;36.0;P;13.0;P;;157;0;557;NIL;A;0.0;;;;
A25121;Appeal to Judge;2008-06-26;36.0;P;13.0;P;;157;0;0;NIL;A;0.0;0.0;;57.0;
A25121;Add Penalty;2008-06-29;74.0;P;13.0;P;;157;0;0;NIL;A;0.0;0.0;;;
A25121;Send for Credit Collection;2010-10-15;74.0;P;13.0;P;;157;0;0;NIL;A;0.0;0.0;;;
N22685;Create Fine;2000-02-16;31.3;;;;;7;0;550;NIL;A;0.0;;;;
N22685;Send Fine;2000-04-06;31.3;;11.41;;;7;0;550;NIL;A;0.0;;50.0;;
N22685;Insert Fine Notification;2000-04-18;31.3;P;11.41;NO;;7;0;550;NIL;A;0.0;;;;
N22685;Payment;2000-05-03;31.3;P;11.41;NO;31.3;7;0;550;NIL;A;31.3;;;;
N22685;Add Penalty;2000-06-17;62.59;P;11.41;NO;31.3;7;0;550;NIL;A;31.3;;;;
N22685;Send for Credit Collection;2002-04-10;62.59;P;11.41;NO;31.3;7;0;550;NIL;A;31.3;;;;
